x,y,phi
7.583333333333333037e+00,2.500000000000000000e-01,6.793394878306016516e+00
7.750000000000000000e+00,2.500000000000000000e-01,6.653775211881365337e+00
7.916666666666666075e+00,2.500000000000000000e-01,6.501485780886591570e+00
8.083333333333332149e+00,2.500000000000000000e-01,6.335755702294407321e+00
8.250000000000000000e+00,2.500000000000000000e-01,6.155707373099608581e+00
8.416666666666667851e+00,2.500000000000000000e-01,5.960337662472082521e+00
8.583333333333333925e+00,2.500000000000000000e-01,5.748493819957302797e+00
8.750000000000000000e+00,2.500000000000000000e-01,5.518842132984751458e+00
8.916666666666666075e+00,2.500000000000000000e-01,5.269826419070918533e+00
9.083333333333332149e+00,2.500000000000000000e-01,4.999611931150487187e+00
9.250000000000000000e+00,2.500000000000000000e-01,4.706007818374447815e+00
9.416666666666667851e+00,2.500000000000000000e-01,4.386357343218182159e+00
9.583333333333332149e+00,2.500000000000000000e-01,4.037378958171109922e+00
9.750000000000000000e+00,2.500000000000000000e-01,3.654933693309807552e+00
9.916666666666666075e+00,2.500000000000000000e-01,3.233694379212578074e+00
1.008333333333333215e+01,2.500000000000000000e-01,2.766754750611016611e+00
1.025000000000000000e+01,2.500000000000000000e-01,2.372757983559499628e+00
1.041666666666666607e+01,2.500000000000000000e-01,2.038793497829050949e+00
1.058333333333333215e+01,2.500000000000000000e-01,1.754621688330561424e+00
1.075000000000000000e+01,2.500000000000000000e-01,1.512062455192882071e+00
1.091666666666666607e+01,2.500000000000000000e-01,1.304497685010941987e+00
1.108333333333333393e+01,2.500000000000000000e-01,1.126509524982752586e+00
1.125000000000000000e+01,2.500000000000000000e-01,9.736194110442543126e-01
1.141666666666666607e+01,2.500000000000000000e-01,8.420963307730655600e-01
1.158333333333333393e+01,2.500000000000000000e-01,7.288126584078905568e-01
1.175000000000000000e+01,2.500000000000000000e-01,6.311333820638204140e-01
1.191666666666666785e+01,2.500000000000000000e-01,5.468293889541713249e-01
1.208333333333333215e+01,2.500000000000000000e-01,4.740085240000821432e-01
1.225000000000000000e+01,2.500000000000000000e-01,4.110600749658681607e-01
1.241666666666666785e+01,2.500000000000000000e-01,3.566095967205825112e-01
1.258333333333333215e+01,2.500000000000000000e-01,3.094818277023141384e-01
1.275000000000000000e+01,2.500000000000000000e-01,2.686700275205359811e-01
1.291666666666666607e+01,2.500000000000000000e-01,2.333104691012892751e-01
1.308333333333333215e+01,2.500000000000000000e-01,2.026611093939107988e-01
1.325000000000000000e+01,2.500000000000000000e-01,1.760836757821209464e-01
1.341666666666666607e+01,2.500000000000000000e-01,1.530285645216427903e-01
1.358333333333333393e+01,2.500000000000000000e-01,1.330220683625753797e-01
1.375000000000000000e+01,2.500000000000000000e-01,1.156555435737667559e-01
1.391666666666666607e+01,2.500000000000000000e-01,1.005761991721225018e-01
1.408333333333333393e+01,2.500000000000000000e-01,8.747924841718694722e-02
1.425000000000000000e+01,2.500000000000000000e-01,7.610120824885389934e-02
1.441666666666666785e+01,2.500000000000000000e-01,6.621416901094973051e-02
1.458333333333333215e+01,2.500000000000000000e-01,5.762088650280883240e-02
1.475000000000000000e+01,2.500000000000000000e-01,5.015057262444683889e-02
1.491666666666666785e+01,2.500000000000000000e-01,4.365528075930702467e-02
1.508333333333333215e+01,2.500000000000000000e-01,3.800679844006168290e-02
1.525000000000000000e+01,2.500000000000000000e-01,3.309397344133857555e-02
1.541666666666666607e+01,2.500000000000000000e-01,2.882041076634882237e-02
1.558333333333333215e+01,2.500000000000000000e-01,2.510248745939537562e-02
1.575000000000000000e+01,2.500000000000000000e-01,2.186764011550056466e-02
1.591666666666666607e+01,2.500000000000000000e-01,1.905288663863337340e-02
1.608333333333333570e+01,2.500000000000000000e-01,1.660354943672258041e-02
1.625000000000000000e+01,2.500000000000000000e-01,1.447215200994918932e-02
1.641666666666666430e+01,2.500000000000000000e-01,1.261746493185968848e-02
1.658333333333333570e+01,2.500000000000000000e-01,1.100368065820584579e-02
1.675000000000000000e+01,2.500000000000000000e-01,9.599699523120053951e-03
1.691666666666666430e+01,2.500000000000000000e-01,8.378511776683516057e-03
1.708333333333333215e+01,2.500000000000000000e-01,7.316662649025269978e-03
1.725000000000000000e+01,2.500000000000000000e-01,6.393789249647456770e-03
1.741666666666666785e+01,2.500000000000000000e-01,5.592219673486050618e-03
1.758333333333333215e+01,2.500000000000000000e-01,4.896626026591215618e-03
1.775000000000000000e+01,2.500000000000000000e-01,4.293724237371048663e-03
1.791666666666666430e+01,2.500000000000000000e-01,3.772014512077580175e-03
1.808333333333333570e+01,2.500000000000000000e-01,3.321557149342429203e-03
1.825000000000000000e+01,2.500000000000000000e-01,2.933779168244834371e-03
1.841666666666666430e+01,2.500000000000000000e-01,2.601307844786033413e-03
1.858333333333333570e+01,2.500000000000000000e-01,2.317827807423333657e-03
1.875000000000000000e+01,2.500000000000000000e-01,2.077958826061421065e-03
1.891666666666666430e+01,2.500000000000000000e-01,1.877151851427213101e-03
1.908333333333333570e+01,2.500000000000000000e-01,1.711601232414424606e-03
1.925000000000000000e+01,2.500000000000000000e-01,1.578171365888345187e-03
1.941666666666666430e+01,2.500000000000000000e-01,1.474336323675344259e-03
1.958333333333333215e+01,2.500000000000000000e-01,1.398131261256928357e-03
1.975000000000000000e+01,2.500000000000000000e-01,1.348114647573761191e-03
1.991666666666666785e+01,2.500000000000000000e-01,1.323340570280286208e-03
8.333333333333332871e-02,4.166666666666666297e-01,2.695434933899045760e+00
2.500000000000000000e-01,4.166666666666666297e-01,3.243217613676685929e+00
4.166666666666666297e-01,4.166666666666666297e-01,3.745852184941275809e+00
5.833333333333332593e-01,4.166666666666666297e-01,4.208380861282924990e+00
7.500000000000000000e-01,4.166666666666666297e-01,4.634999628096666768e+00
9.166666666666666297e-01,4.166666666666666297e-01,5.029223509513462531e+00
1.083333333333333481e+00,4.166666666666666297e-01,5.394023949850852873e+00
1.250000000000000000e+00,4.166666666666666297e-01,5.731936476279036796e+00
1.416666666666666519e+00,4.166666666666666297e-01,6.045143618334056335e+00
1.583333333333333259e+00,4.166666666666666297e-01,6.335538751311402983e+00
1.750000000000000000e+00,4.166666666666666297e-01,6.604775592786887195e+00
1.916666666666666519e+00,4.166666666666666297e-01,6.854306951310590534e+00
2.083333333333333481e+00,4.166666666666666297e-01,7.085415381363070253e+00
2.250000000000000000e+00,4.166666666666666297e-01,7.299237686768606181e+00
2.416666666666666963e+00,4.166666666666666297e-01,7.496784697775949802e+00
2.583333333333333037e+00,4.166666666666666297e-01,7.678957375566133337e+00
2.750000000000000000e+00,4.166666666666666297e-01,7.846560030792296914e+00
2.916666666666666519e+00,4.166666666666666297e-01,8.000311249346344411e+00
3.083333333333333037e+00,4.166666666666666297e-01,8.140852977226632703e+00
3.250000000000000000e+00,4.166666666666666297e-01,8.268758112037319918e+00
3.416666666666666519e+00,4.166666666666666297e-01,8.384536870762572036e+00
3.583333333333333037e+00,4.166666666666666297e-01,8.488642144673178791e+00
3.750000000000000000e+00,4.166666666666666297e-01,8.581474007358806944e+00
3.916666666666666519e+00,4.166666666666666297e-01,8.663383507253227478e+00
4.083333333333333925e+00,4.166666666666666297e-01,8.734675848986540814e+00
4.250000000000000000e+00,4.166666666666666297e-01,8.795613046534516144e+00
4.416666666666666963e+00,4.166666666666666297e-01,8.846416114027531918e+00
