x,y,phi
7.916666666666666075e+00,8.333333333333332871e-02,5.374862958678507496e+00
8.083333333333332149e+00,8.333333333333332871e-02,5.238760332624363691e+00
8.250000000000000000e+00,8.333333333333332871e-02,5.090863599956958474e+00
8.416666666666667851e+00,8.333333333333332871e-02,4.930335169336836465e+00
8.583333333333333925e+00,8.333333333333332871e-02,4.756209562494579046e+00
8.750000000000000000e+00,8.333333333333332871e-02,4.567365331134474182e+00
8.916666666666666075e+00,8.333333333333332871e-02,4.362487175926428762e+00
9.083333333333332149e+00,8.333333333333332871e-02,4.140013444845838997e+00
9.250000000000000000e+00,8.333333333333332871e-02,3.898060893054228426e+00
9.416666666666667851e+00,8.333333333333332871e-02,3.634312220679500438e+00
9.583333333333332149e+00,8.333333333333332871e-02,3.345838623860734717e+00
9.750000000000000000e+00,8.333333333333332871e-02,3.028799252422355259e+00
9.916666666666666075e+00,8.333333333333332871e-02,2.677882606658328779e+00
1.008333333333333215e+01,8.333333333333332871e-02,2.285137447533882149e+00
1.025000000000000000e+01,8.333333333333332871e-02,1.956668931121359201e+00
1.041666666666666607e+01,8.333333333333332871e-02,1.679537829143043837e+00
1.058333333333333215e+01,8.333333333333332871e-02,1.444373984322038451e+00
1.075000000000000000e+01,8.333333333333332871e-02,1.244007331737953637e+00
1.091666666666666607e+01,8.333333333333332871e-02,1.072765084947287395e+00
1.108333333333333393e+01,8.333333333333332871e-02,9.260618972726485376e-01
1.125000000000000000e+01,8.333333333333332871e-02,8.001369795710219224e-01
1.141666666666666607e+01,8.333333333333332871e-02,6.918734644045462234e-01
1.158333333333333393e+01,8.333333333333332871e-02,5.986679660343043885e-01
1.175000000000000000e+01,8.333333333333332871e-02,5.183329005126379174e-01
1.191666666666666785e+01,8.333333333333332871e-02,4.490213241165371683e-01
1.208333333333333215e+01,8.333333333333332871e-02,3.891678880942431862e-01
1.225000000000000000e+01,8.333333333333332871e-02,3.374417005427889915e-01
1.241666666666666785e+01,8.333333333333332871e-02,2.927082114751401454e-01
1.258333333333333215e+01,8.333333333333332871e-02,2.539980765681187358e-01
1.275000000000000000e+01,8.333333333333332871e-02,2.204815088139852053e-01
1.291666666666666607e+01,8.333333333333332871e-02,1.914470050174043869e-01
1.308333333333333215e+01,8.333333333333332871e-02,1.662835994404647244e-01
1.325000000000000000e+01,8.333333333333332871e-02,1.444659882199677559e-01
1.341666666666666607e+01,8.333333333333332871e-02,1.255420088366019093e-01
1.358333333333333393e+01,8.333333333333332871e-02,1.091220647673237648e-01
1.375000000000000000e+01,8.333333333333332871e-02,9.487016590493169144e-02
1.391666666666666607e+01,8.333333333333332871e-02,8.249631789546289784e-02
1.408333333333333393e+01,8.333333333333332871e-02,7.175004233217789629e-02
1.425000000000000000e+01,8.333333333333332871e-02,6.241484857692805588e-02
1.441666666666666785e+01,8.333333333333332871e-02,5.430350898456707404e-02
1.458333333333333215e+01,8.333333333333332871e-02,4.725401429148231441e-02
1.475000000000000000e+01,8.333333333333332871e-02,4.112610636199665048e-02
1.491666666666666785e+01,8.333333333333332871e-02,3.579830202644720960e-02
1.508333333333333215e+01,8.333333333333332871e-02,3.116533556281508160e-02
1.525000000000000000e+01,8.333333333333332871e-02,2.713595862135608633e-02
1.541666666666666607e+01,8.333333333333332871e-02,2.363104588126658037e-02
1.558333333333333215e+01,8.333333333333332871e-02,2.058196257783661762e-02
1.575000000000000000e+01,8.333333333333332871e-02,1.792915659363934419e-02
1.591666666666666607e+01,8.333333333333332871e-02,1.562094342236242800e-02
1.608333333333333570e+01,8.333333333333332871e-02,1.361245688849494102e-02
1.625000000000000000e+01,8.333333333333332871e-02,1.186474254116208493e-02
1.641666666666666430e+01,8.333333333333332871e-02,1.034397392203140892e-02
1.658333333333333570e+01,8.333333333333332871e-02,9.020774756199676295e-03
1.675000000000000000e+01,8.333333333333332871e-02,7.869632581583001912e-03
1.691666666666666430e+01,8.333333333333332871e-02,6.868391273365098519e-03
1.708333333333333215e+01,8.333333333333332871e-02,5.997811852857892409e-03
1.725000000000000000e+01,8.333333333333332871e-02,5.241192265469533929e-03
1.741666666666666785e+01,8.333333333333332871e-02,4.584038309676019551e-03
1.758333333333333215e+01,8.333333333333332871e-02,4.013778821055568116e-03
1.775000000000000000e+01,8.333333333333332871e-02,3.519519296754395395e-03
1.791666666666666430e+01,8.333333333333332871e-02,3.091828899059661379e-03
1.808333333333333570e+01,8.333333333333332871e-02,2.722556470748255589e-03
1.825000000000000000e+01,8.333333333333332871e-02,2.404671872758924311e-03
1.841666666666666430e+01,8.333333333333332871e-02,2.132129382225551092e-03
1.858333333333333570e+01,8.333333333333332871e-02,1.899750458821757243e-03
1.875000000000000000e+01,8.333333333333332871e-02,1.703123473113070819e-03
1.891666666666666430e+01,8.333333333333332871e-02,1.538518420380836048e-03
1.908333333333333570e+01,8.333333333333332871e-02,1.402814909429523933e-03
1.925000000000000000e+01,8.333333333333332871e-02,1.293441981244860530e-03
1.941666666666666430e+01,8.333333333333332871e-02,1.208328600956589446e-03
1.958333333333333215e+01,8.333333333333332871e-02,1.145863784254823412e-03
1.975000000000000000e+01,8.333333333333332871e-02,1.104865629342419555e-03
1.991666666666666785e+01,8.333333333333332871e-02,1.084558592405359366e-03
8.333333333333332871e-02,2.500000000000000000e-01,2.338240072416512660e+00
2.500000000000000000e-01,2.500000000000000000e-01,2.810976556256274961e+00
4.166666666666666297e-01,2.500000000000000000e-01,3.243217613660340337e+00
5.833333333333332593e-01,2.500000000000000000e-01,3.639976127589316324e+00
7.500000000000000000e-01,2.500000000000000000e-01,4.005260496653853863e+00
9.166666666666666297e-01,2.500000000000000000e-01,4.342338271827260066e+00
1.083333333333333481e+00,2.500000000000000000e-01,4.653919719042884928e+00
1.250000000000000000e+00,2.500000000000000000e-01,4.942286209399661345e+00
1.416666666666666519e+00,2.500000000000000000e-01,5.209381823455051297e+00
1.583333333333333259e+00,2.500000000000000000e-01,5.456880221505675976e+00
1.750000000000000000e+00,2.500000000000000000e-01,5.686234535699695058e+00
1.916666666666666519e+00,2.500000000000000000e-01,5.898715332769447706e+00
2.083333333333333481e+00,2.500000000000000000e-01,6.095440003161025189e+00
2.250000000000000000e+00,2.500000000000000000e-01,6.277395858802988116e+00
2.416666666666666963e+00,2.500000000000000000e-01,6.445458526529891152e+00
2.583333333333333037e+00,2.500000000000000000e-01,6.600406763641390562e+00
2.750000000000000000e+00,2.500000000000000000e-01,6.742934510191528119e+00
2.916666666666666519e+00,2.500000000000000000e-01,6.873660777023330226e+00
